Crop_Type,Variety,Exposure_Time_Sec_Min,Exposure_Time_Sec_Max,Effect_GerminationEnergy_MinPct,Effect_GerminationEnergy_MaxPct,Effect_GrowthForce_MinPct,Effect_GrowthForce_MaxPct,Effect_Yield_MinPct,Effect_Yield_MaxPct,Source_File,Source_Page,Source_Table,Verified,Notes
Winter_Wheat,Generic,80,100,2,9,10,25,5,10,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +2-9%, Growth force +10-25%, Yield +5-10%"
Durum_Wheat,Generic,60,80,2,3,8,23,2,3,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +2-3%, Growth force +8-23%, Yield +2-3%"
Winter_Barley,Generic,70,90,3,6,13,37,7,26,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +3-6%, Growth force +13-37%, Yield +7-26%"
Spring_Barley,Generic,80,100,2,4,5,23,2,6,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +2-4%, Growth force +5-23%, Yield +2-6%"
Corn_Grain,Generic,70,90,2,5,2,3,2,3,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +2-5%, Growth force +2-3%, Yield +2-3%"
Peas_Grain,Generic,60,80,2,3,2,4,32,53,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +2-3%, Growth force +2-4%, Yield +32-53%"
Soybean,Generic,80,110,7,21,8,10,8,24,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +7-21%, Growth force +8-10%, Yield +8-24%"
Buckwheat,Generic,80,100,6,8,3,23,4,23,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +6-8%, Growth force +3-23%, Yield +4-23%"
Sunflower,Generic,90,110,12,12,2,8,2,11,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +12%, Growth force +2-8%, Yield +2-11%"
Rapeseed,Generic,80,110,3,4,3,4,10,18,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +3-4%, Growth force +3-4%, Yield +10-18%"
Alfalfa,Generic,70,90,2,4,2,3,7,11,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +2-4%, Growth force +2-3%, Yield +7-11%"
Sainfoin,Generic,70,90,2,5,3,4,4,11,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +2-5%, Growth force +3-4%, Yield +4-11%"
Sugar_Beet,Generic,80,100,10,15,4,5,25,34,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +10-15%, Growth force +4-5%, Yield +25-34%"
Table_Beet,Generic,50,70,10,15,4,5,20,22,Микроволновые технологиии предпосевной обработки.pdf,15,Table_2,true,"Energy +10-15%, Growth force +4-5%, Yield +20-22%"
